id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,parent_payment_id,split_depth,is_rolled_back,attempts_history
0,1994,93,10155281,1946,-1,2551,0,1,0,0,0,1,"15369-57259-354",2020,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":2551,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":15369,""from_node_id"":1994,""to_node_id"":58,""sent_amt"":10157301,""edge_cap"":278409659,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":57259,""from_node_id"":58,""to_node_id"":46,""sent_amt"":10156291,""edge_cap"":16419250863,""channel_cap"":16703447000,""group_cap"":null,""channel_update"":16703447000},{""edge_id"":354,""from_node_id"":46,""to_node_id"":93,""sent_amt"":10155281,""edge_cap"":848209,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000}]}]"
1,2263,2397,9181246,2728,-1,3331,0,1,0,0,0,1,"20139-6838-19655",2036,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":3331,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":20139,""from_node_id"":2263,""to_node_id"":410,""sent_amt"":9183282,""edge_cap"":895880728,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":6838,""from_node_id"":410,""to_node_id"":332,""sent_amt"":9181256,""edge_cap"":55942237,""channel_cap"":824528000,""group_cap"":null,""channel_update"":824528000},{""edge_id"":19655,""from_node_id"":332,""to_node_id"":2397,""sent_amt"":9181246,""edge_cap"":10705382,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000}]}]"
2,1270,3065,8882978,2892,-1,2892,0,0,0,0,0,1,"",0,-1,0,0,"[{""attempts"":1,""is_succeeded"":0,""end_time"":2892,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[]}]"
3,1672,576,9364605,2933,-1,3335,0,1,0,0,0,1,"12221-2843",9,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":3335,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":12221,""from_node_id"":1672,""to_node_id"":513,""sent_amt"":9364614,""edge_cap"":465125495,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":2843,""from_node_id"":513,""to_node_id"":576,""sent_amt"":9364605,""edge_cap"":963433445,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000}]}]"
4,2662,2911,10748350,2965,-1,2965,0,0,0,0,0,1,"",0,-1,0,0,"[{""attempts"":1,""is_succeeded"":0,""end_time"":2965,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[]}]"
5,4296,5389,9677345,4780,-1,5384,0,0,1,0,0,2,"40501-58979-55603-53478",3143,-1,0,0,"[{""attempts"":2,""is_succeeded"":0,""end_time"":5384,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[]},{""attempts"":1,""is_succeeded"":0,""end_time"":5384,""error_edge"":53478,""error_type"":1,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":40501,""from_node_id"":4296,""to_node_id"":1474,""sent_amt"":9680488,""edge_cap"":3274607229,""channel_cap"":3320000000,""group_cap"":null,""channel_update"":3320000000},{""edge_id"":58979,""from_node_id"":1474,""to_node_id"":457,""sent_amt"":9680478,""edge_cap"":1947442184,""channel_cap"":2100000000,""group_cap"":null,""channel_update"":2100000000},{""edge_id"":55603,""from_node_id"":457,""to_node_id"":5367,""sent_amt"":9678354,""edge_cap"":979963393,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":53478,""from_node_id"":5367,""to_node_id"":5389,""sent_amt"":9677345,""edge_cap"":81981,""channel_cap"":100000000,""group_cap"":null,""channel_update"":9677345}]}]"
6,2201,5209,7941983,5063,-1,5866,0,1,0,0,0,1,"41517-55316-52537-51259",1811,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":5866,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":41517,""from_node_id"":2201,""to_node_id"":2,""sent_amt"":7943794,""edge_cap"":47610054,""channel_cap"":61337000,""group_cap"":null,""channel_update"":61337000},{""edge_id"":55316,""from_node_id"":2,""to_node_id"":3074,""sent_amt"":7943794,""edge_cap"":66620011,""channel_cap"":1500000000,""group_cap"":null,""channel_update"":1500000000},{""edge_id"":52537,""from_node_id"":3074,""to_node_id"":4243,""sent_amt"":7942990,""edge_cap"":2431899445,""channel_cap"":2500000000,""group_cap"":null,""channel_update"":2500000000},{""edge_id"":51259,""from_node_id"":4243,""to_node_id"":5209,""sent_amt"":7941983,""edge_cap"":84275022,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000}]}]"
7,5739,4115,11569403,5992,-1,6797,0,1,0,0,0,1,"57011-8191-209-37954",4979,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":6797,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":57011,""from_node_id"":5739,""to_node_id"":219,""sent_amt"":11574382,""edge_cap"":13726209901,""channel_cap"":14000000000,""group_cap"":null,""channel_update"":14000000000},{""edge_id"":8191,""from_node_id"":219,""to_node_id"":24,""sent_amt"":11571225,""edge_cap"":13858309997,""channel_cap"":15000000000,""group_cap"":null,""channel_update"":15000000000},{""edge_id"":209,""from_node_id"":24,""to_node_id"":90,""sent_amt"":11570414,""edge_cap"":68949547,""channel_cap"":87340000,""group_cap"":null,""channel_update"":87340000},{""edge_id"":37954,""from_node_id"":90,""to_node_id"":4115,""sent_amt"":11569403,""edge_cap"":1710421,""channel_cap"":150000000,""group_cap"":null,""channel_update"":150000000}]}]"
8,3243,1859,8901244,7826,-1,8431,0,1,0,0,0,1,"33915-47728-14337",1008,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":8431,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":33915,""from_node_id"":3243,""to_node_id"":2,""sent_amt"":8902252,""edge_cap"":21188823,""channel_cap"":31337000,""group_cap"":null,""channel_update"":31337000},{""edge_id"":47728,""from_node_id"":2,""to_node_id"":400,""sent_amt"":8902252,""edge_cap"":97475967,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":14337,""from_node_id"":400,""to_node_id"":1859,""sent_amt"":8901244,""edge_cap"":3733339737,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000}]}]"
9,4723,1812,8543460,12109,-1,12710,0,1,0,0,0,1,"47154-55054-14267",117,-1,0,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":12710,""error_edge"":0,""error_type"":0,""split_depth"":0,""split_occurred"":0,""split_reason"":null,""child_shard_id1"":null,""child_shard_id2"":null,""child_shard_amount1"":null,""child_shard_amount2"":null,""route"":[{""edge_id"":47154,""from_node_id"":4723,""to_node_id"":130,""sent_amt"":8543577,""edge_cap"":93208152,""channel_cap"":5173250000,""group_cap"":null,""channel_update"":5173250000},{""edge_id"":55054,""from_node_id"":130,""to_node_id"":17,""sent_amt"":8543568,""edge_cap"":715682425,""channel_cap"":8000000000,""group_cap"":null,""channel_update"":8000000000},{""edge_id"":14267,""from_node_id"":17,""to_node_id"":1812,""sent_amt"":8543460,""edge_cap"":221177251,""channel_cap"":250000000,""group_cap"":null,""channel_update"":250000000}]}]"
