id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_shard,parent_payment_id,shard1_id,shard2_id,is_success,is_rolledback,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,attempts_history
927,3423,2031,2608806,278285,4611686018427387903,279887,1,1,923,936,937,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":279887,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29494,""from_node_id"":3423,""to_node_id"":130,""sent_amt"":2609811,""edge_cap"":1082916,""channel_cap"":85586000,""group_cap"":null,""channel_update"":85586000},{""edge_id"":21232,""from_node_id"":130,""to_node_id"":1324,""sent_amt"":2609808,""edge_cap"":390001876,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000},{""edge_id"":15819,""from_node_id"":1324,""to_node_id"":2031,""sent_amt"":2608806,""edge_cap"":898197164,""channel_cap"":1000001000,""group_cap"":null,""channel_update"":1000001000}]}]"
928,1005,4535,5240824,279822,9223372036854775807,279822,1,1,276,938,939,0,0,0,0,0,1,"",0,
929,1005,4535,5240824,279822,9223372036854775807,280625,1,1,276,940,941,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":280625,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":5242886,""edge_cap"":1749973,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":5241881,""edge_cap"":277655830,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":5241876,""edge_cap"":237278011,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":5240824,""edge_cap"":5917312794,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
930,3423,2031,1304402,278285,2305843009213693951,279891,0,1,924,-1,-1,0,0,0,0,0,1,,,
931,3423,2031,1304403,278285,2305843009213693951,279891,0,1,924,-1,-1,0,0,0,0,0,1,,,
932,3423,2031,1304403,278285,2305843009213693951,279891,0,1,925,-1,-1,0,0,0,0,0,1,,,
933,3423,2031,1304403,278285,2305843009213693951,279891,0,1,925,-1,-1,0,0,0,0,0,1,,,
934,3423,2031,1304403,278285,2305843009213693951,280492,0,1,926,-1,-1,0,1,0,0,0,1,29494-21232-15819,1003,"[{""attempts"":1,""is_succeeded"":1,""end_time"":280492,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29494,""from_node_id"":3423,""to_node_id"":130,""sent_amt"":1305406,""edge_cap"":1080914,""channel_cap"":85586000,""group_cap"":null,""channel_update"":85586000},{""edge_id"":21232,""from_node_id"":130,""to_node_id"":1324,""sent_amt"":1305404,""edge_cap"":389999876,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000},{""edge_id"":15819,""from_node_id"":1324,""to_node_id"":2031,""sent_amt"":1304403,""edge_cap"":898197164,""channel_cap"":1000001000,""group_cap"":null,""channel_update"":1000001000}]}]"
935,3423,2031,1304403,278285,2305843009213693951,280495,0,1,926,-1,-1,0,1,0,0,0,1,29494-21232-15819,1003,"[{""attempts"":1,""is_succeeded"":1,""end_time"":280495,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29494,""from_node_id"":3423,""to_node_id"":130,""sent_amt"":1305406,""edge_cap"":1080914,""channel_cap"":85586000,""group_cap"":null,""channel_update"":85586000},{""edge_id"":21232,""from_node_id"":130,""to_node_id"":1324,""sent_amt"":1305404,""edge_cap"":389999876,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000},{""edge_id"":15819,""from_node_id"":1324,""to_node_id"":2031,""sent_amt"":1304403,""edge_cap"":898197164,""channel_cap"":1000001000,""group_cap"":null,""channel_update"":1000001000}]}]"
936,3423,2031,1304403,278285,2305843009213693951,280494,0,1,927,-1,-1,0,1,0,0,0,1,29494-21232-15819,1003,"[{""attempts"":1,""is_succeeded"":1,""end_time"":280494,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29494,""from_node_id"":3423,""to_node_id"":130,""sent_amt"":1305406,""edge_cap"":1080914,""channel_cap"":85586000,""group_cap"":null,""channel_update"":85586000},{""edge_id"":21232,""from_node_id"":130,""to_node_id"":1324,""sent_amt"":1305404,""edge_cap"":389999876,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000},{""edge_id"":15819,""from_node_id"":1324,""to_node_id"":2031,""sent_amt"":1304403,""edge_cap"":898197164,""channel_cap"":1000001000,""group_cap"":null,""channel_update"":1000001000}]}]"
